case_number,trip_duration_days,miles_traveled,total_receipts_amount,expected_output,algorithm_result,absolute_error,error_percentage
347,4,166,791.52,866.18,866.13,0.049999999999954525,0.005772472234403303
13,2,21,20.04,204.58,204.53,0.05000000000001137,0.02444031674651059
79,1,909,741.82,866.07,866.15,0.07999999999992724,0.0092371286385543
12,3,80,21.05,366.87,366.52,0.35000000000002274,0.09540164090822982
43,9,602,186.69,1085.4,1085.03,0.37000000000011823,0.03408881518335344
707,1,85,89.83,175.53,175.91,0.37999999999999545,0.21648721016350225
16,1,58,5.86,117.24,117.73,0.4900000000000091,0.4179460934834605
18,1,59,8.31,120.65,119.56,1.0900000000000034,0.9034397016162481
1,3,93,1.42,364.51,365.81,1.3000000000000114,0.35664316479657937
893,4,84,2243.12,1392.1,1393.53,1.4300000000000637,0.10272250556713337
156,3,1162,2152.66,1434.71,1436.3,1.5899999999999181,0.11082379017361822
23,5,592,433.75,869,867.04,1.9600000000000364,0.22554660529344492
508,14,545,1206.76,1977.89,1979.88,1.990000000000009,0.10061226862970181
528,4,730,799.25,1250.66,1248.65,2.009999999999991,0.16071514240480952
14,3,177,18.73,430.86,433.26,2.3999999999999773,0.5570254839158839
857,7,205,103.31,683.1,686.06,2.9599999999999227,0.4333186941882481
745,5,579,1018.52,1468.01,1471.02,3.009999999999991,0.20503947520793395
998,6,370,315.09,946.39,949.49,3.1000000000000227,0.3275605194475874
243,5,728,423.16,947.72,951.36,3.6399999999999864,0.38407968598320036
726,11,437,1053.24,1630.47,1635.06,4.589999999999918,0.2815139192993381
207,10,621,978.73,1656.28,1651.18,5.099999999999909,0.30791895090201593
902,1,620,490.45,678.74,673.23,5.509999999999991,0.8117983322037879
21,5,130,306.9,574.1,580.6,6.5,1.1322069325901412
202,5,125,96.38,570.99,577.5,6.509999999999991,1.1401250459727825
928,7,789,185.73,966.26,972.88,6.6200000000000045,0.6851158073396398
39,5,764,848.75,1468.46,1475.37,6.9099999999998545,0.4705609958732178
542,10,57,936.89,1237.07,1244.01,6.940000000000055,0.5610030151891207
923,5,406,1084.16,1399.39,1406.42,7.029999999999973,0.5023617433310208
65,5,770,873.33,1502.49,1495.06,7.430000000000064,0.49451244267849126
499,5,741,429.24,951.92,959.42,7.5,0.78788133456593
206,11,886,922.66,1852.24,1844.48,7.759999999999991,0.418952187621474
253,3,1159,2209.44,1434.84,1442.72,7.880000000000109,0.5491901536059847
128,5,66.13,848.03,1050.25,1042.22,8.029999999999973,0.7645798619376313
263,10,314,1098.8,1539.1,1529.54,9.559999999999945,0.6211422259762164
758,5,103,333.22,573.58,563.86,9.720000000000027,1.6946197566163441
532,12,85,1056.43,1466.31,1456.45,9.8599999999999,0.672436251542982
416,14,49,954.02,1480.87,1470.64,10.22999999999979,0.6908101318819202
844,7,1071,841.11,1699.9,1710.52,10.61999999999989,0.6247426319195182
7,3,41,4.52,320.12,330.96,10.839999999999975,3.386230163688609
790,9,938,742.17,1632.1,1642.98,10.88000000000011,0.6666258194963611
19,2,89,13.85,234.2,245.26,11.060000000000002,4.7224594363791645
